20180308041452
PyPOFacetsModular.py
BOX
input_data_file_001.dat
15000000
0
0
0
0
0
1
0
360
2
0 [(1+0j), 0j, (-0+0j)]
1 [(0.9993908270190958+0j), 0j, (-0.03489949670250097+0j)]
2 [(0.9975640502598242+0j), 0j, (-0.0697564737441253+0j)]
3 [(0.9945218953682733+0j), 0j, (-0.10452846326765347+0j)]
4 [(0.9902680687415704+0j), 0j, (-0.13917310096006544+0j)]
5 [(0.984807753012208+0j), 0j, (-0.17364817766693033+0j)]
6 [(0.9781476007338057+0j), 0j, (-0.20791169081775934+0j)]
7 [(0.9702957262759965+0j), 0j, (-0.24192189559966773+0j)]
8 [(0.9612616959383189+0j), 0j, (-0.27563735581699916+0j)]
9 [(0.9510565162951535+0j), 0j, (-0.3090169943749474+0j)]
10 [(0.9396926207859084+0j), 0j, (-0.3420201433256687+0j)]
11 [(0.9271838545667874+0j), 0j, (-0.374606593415912+0j)]
12 [(0.9135454576426009+0j), 0j, (-0.4067366430758002+0j)]
13 [(0.898794046299167+0j), 0j, (-0.4383711467890774+0j)]
14 [(0.882947592858927+0j), 0j, (-0.4694715627858908+0j)]
15 [(0.8660254037844387+0j), 0j, (-0.49999999999999994+0j)]
16 [(0.848048096156426+0j), 0j, (-0.5299192642332049+0j)]
17 [(0.8290375725550416+0j), 0j, (-0.5591929034707469+0j)]
18 [(0.8090169943749475+0j), 0j, (-0.5877852522924731+0j)]
19 [(0.7880107536067219+0j), 0j, (-0.6156614753256583+0j)]
20 [(0.766044443118978+0j), 0j, (-0.6427876096865393+0j)]
21 [(0.7431448254773942+0j), 0j, (-0.6691306063588582+0j)]
22 [(0.7193398003386512+0j), 0j, (-0.6946583704589973+0j)]
23 [(0.6946583704589973+0j), 0j, (-0.7193398003386511+0j)]
24 [(0.6691306063588582+0j), 0j, (-0.7431448254773942+0j)]
25 [(0.6427876096865394+0j), 0j, (-0.766044443118978+0j)]
26 [(0.6156614753256583+0j), 0j, (-0.788010753606722+0j)]
27 [(0.5877852522924731+0j), 0j, (-0.8090169943749475+0j)]
28 [(0.5591929034707468+0j), 0j, (-0.8290375725550417+0j)]
29 [(0.5299192642332049+0j), 0j, (-0.848048096156426+0j)]
30 [(0.5000000000000001+0j), 0j, (-0.8660254037844386+0j)]
31 [(0.46947156278589086+0j), 0j, (-0.8829475928589269+0j)]
32 [(0.43837114678907746+0j), 0j, (-0.898794046299167+0j)]
33 [(0.4067366430758002+0j), 0j, (-0.9135454576426009+0j)]
34 [(0.37460659341591196+0j), 0j, (-0.9271838545667874+0j)]
35 [(0.3420201433256688+0j), 0j, (-0.9396926207859083+0j)]
36 [(0.30901699437494745+0j), 0j, (-0.9510565162951535+0j)]
37 [(0.27563735581699916+0j), 0j, (-0.9612616959383189+0j)]
38 [(0.24192189559966767+0j), 0j, (-0.9702957262759965+0j)]
39 [(0.20791169081775945+0j), 0j, (-0.9781476007338056+0j)]
40 [(0.17364817766693041+0j), 0j, (-0.984807753012208+0j)]
41 [(0.13917310096006547+0j), 0j, (-0.9902680687415704+0j)]
42 [(0.10452846326765346+0j), 0j, (-0.9945218953682733+0j)]
43 [(0.06975647374412523+0j), 0j, (-0.9975640502598242+0j)]
44 [(0.03489949670250108+0j), 0j, (-0.9993908270190958+0j)]
45 [(6.123233995736766e-17+0j), 0j, (-1+0j)]
46 [(-0.034899496702500955+0j), 0j, (-0.9993908270190958+0j)]
47 [(-0.06975647374412533+0j), 0j, (-0.9975640502598242+0j)]
48 [(-0.10452846326765355+0j), 0j, (-0.9945218953682733+0j)]
49 [(-0.13917310096006535+0j), 0j, (-0.9902680687415704+0j)]
50 [(-0.1736481776669303+0j), 0j, (-0.984807753012208+0j)]
51 [(-0.20791169081775934+0j), 0j, (-0.9781476007338057+0j)]
52 [(-0.24192189559966779+0j), 0j, (-0.9702957262759965+0j)]
53 [(-0.27563735581699905+0j), 0j, (-0.9612616959383189+0j)]
54 [(-0.30901699437494734+0j), 0j, (-0.9510565162951536+0j)]
55 [(-0.3420201433256687+0j), 0j, (-0.9396926207859084+0j)]
56 [(-0.37460659341591207+0j), 0j, (-0.9271838545667874+0j)]
57 [(-0.40673664307580026+0j), 0j, (-0.9135454576426009+0j)]
58 [(-0.4383711467890775+0j), 0j, (-0.8987940462991669+0j)]
59 [(-0.4694715627858909+0j), 0j, (-0.8829475928589269+0j)]
60 [(-0.4999999999999998+0j), 0j, (-0.8660254037844387+0j)]
61 [(-0.5299192642332048+0j), 0j, (-0.8480480961564261+0j)]
62 [(-0.5591929034707467+0j), 0j, (-0.8290375725550417+0j)]
63 [(-0.587785252292473+0j), 0j, (-0.8090169943749475+0j)]
